Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Main language at work,Company size,Company type,Totalcomp
27,Female,Berlin,Data Scientist,3,3,Middle,Python,English,51-100,Product,59000
50,Male,Berlin,Software Engineer,29,2,Lead,C++,German,11-50,IT-Outsourcing,57600
35,Male,Helsinki,Backend Developer,11,2.5,Senior,python,English,101-1000,Product,68000
29,Male,Berlin,Backend Developer,10,1,Senior,Ruby,English,101-1000,Product,80000
30,Male,Munich,Mobile Developer,8,2,Lead,Swift,English,11-50,Startup,161000
24,Male,Frankfurt,Frontend Developer,3,0,Middle,JavaScript,English,51-100,Product,47000
28,Male,Würzburg,Software Engineer,8,0,Senior,Java,English,101-1000,Product,75000
28,Male,Berlin,Backend Developer,9,2,Senior,PHP,English,11-50,Product,61000
37,Male,Berlin,Software Engineer,8,5,Senior,Python ,English,101-1000,Product,154300
30,Male,Kiev,Backend Developer,8,0,Middle,Web developer,Русский,51-100,Product,27000
30,Male,Munich,Frontend Developer,4,1,Middle,JavaScript/Typescript,English,1000+,Product,55000
31,Male,Berlin,Software Engineer,4,2,Lead,Java,English,1000+,Startup,95000
28,Female,Berlin,Software Engineer,3,3,Middle,Javascript,English,101-1000,Startup,60000
31,Female,Munich,Software Engineer,2,2,Middle,Java,German,1000+,Product,61000
34,Male,Berlin,Mobile Developer,9,2,Senior,Android,English,1000+,Product,72012
24,Male,Berlin,Backend Developer,4,3,Middle,PHP,English,51-100,Startup,46000
39,Male,Berlin,DevOps,15,3,Senior,Python,English,101-1000,Product,70000
42,Male,Den Haag,Backend Developer,20,6,Senior,.NET,English,101-1000,Product,75000
26,Male,London,Frontend Developer,8,0,Senior,"TypeScript, React",English,1000+,Startup,165000
32,Female,Berlin,Mobile Developer,7,3,Senior,Kotlin,English,1000+,Product,63000
23,Male,Berlin,Mobile Developer,3,0,Lead,Swift,English,51-100,Startup,130000
27,Male,Amsterdam,ML Engineer,4,1,Middle,python,English,1000+,Product,124000
27,Male,Berlin,Tech Lead / Full-Stack,5,3.5,Lead,Python / JavaScript (React),English,11-50,Startup,91000
29,Male,Berlin,Frontend Developer,8,4,Senior,JavaScript / typescript,English,1000+,Product,143000
32,Male,Munich,Software Engineer,10,6,Senior,Java,English,1000+,Product,208000
31,Male,Berlin,DevOps,11,4,Senior,Terraform,English,101-1000,Startup,81000
26,Male,Berlin,Marketing Analyst,7,2,Middle,SQL,English,101-1000,Startup,65000
29,Male,Berlin,Software Engineer,5,"1,5",Middle,PHP,English,11-50,Product,56000
30,Male,Hamburg,Frontend Developer,7,1,Senior,JavaScript,English,101-1000,Product,55000
38,Male,Berlin,Mobile Developer,10,4,Senior,Swift,English,1000+,Product,70000
32,Male,Berlin,CTO,10,4,CTO,JAVA,English,101-1000,Product,400000
25,Male,Berlin,Solutions Architect,6,2,Middle,Apache Spark,English,1000+,Product,120000
24,Male,Berlin,Backend Developer,3,0,Junior,C#,English,1000+,Game Company,48000
24,Male,Tallinn,Software Engineer,3,0,Junior,Java,English,11-50,Product,30000
27,Male,Prague,Software Engineer,3,0,Middle,.NET,Czech,11-50,Product,24640
34,Female,Berlin,QA Engineer,6,2,Senior,Ruby,English,1000+,Product,67500
30,Male,Utrecht,Data Scientist,2,0,Middle,python,English,1000+,Product,58000
27,Female,Munich,Frontend Developer,2,2,Middle,JavaScript,English,101-1000,Startup,64000
46,Male,Frankfurt,Software Engineer,23,16,Senior,C#,German,1000+,Consulting / Agency,186000
42,Female,Munich,Software tester ,12,12,No level ,Java,German,51-100,Product,95000
40,Female,Berlin,Fullstack Developer,8,8,Senior,C#,German,51-100,Product,58500
23,Male,Stockholm,Frontend Developer,5,1.5,Senior,Javascript,English,up to 10,Consulting / Agency,91200
30,Male,Moscow,Backend Developer,2,0,Junior,Elixir,English,101-1000,Product,105000
40,Male,Braunschweig ,SAP BW Senior Consultant ,11,11,Senior,SAP BW / ABAP,German,1000+,Financial ,80000
38,Male,Dresden,Software Engineer,10,10,Lead,"Go, PHP, SQL",German,51-100,Product,62000
28,Male,Kyiv,Mobile Developer,5,0,Senior,Swift,English,11-50,Product,45000
38,Male,Berlin,Software Engineer,16,2,Senior,ABAP,English,1000+,Startup,94000
32,Male,Hamburg,Software Engineer,12,7,Senior,Java,German,101-1000,Product,67300
33,Female,Berlin,Software Engineer,6,3,Middle,java,English,1000+,Startup,65000
34,Male,Berlin,Software Engineer,13,4,Lead,Kotlin ,English,1000+,Product,85000
35,Female,Stuttgart ,QA Manager ,9,4,Middle,Jira,English,101-1000,Consulting / Agency,60000
37,Male,Stuttgart ,Software Engineer,9,5,Senior,Qml,English,101-1000,Consulting / Agency,60000
33,Male,Berlin,Director of Engineering,10,5,Director,PHP,English,1000+,Product,100000
36,Male,Munich,IT Spezialist,15,6,Senior,AWS,German,1000+,Product,91200
27,Male,Frankfurt,Software Engineer,5,3,Middle,C#/.NET,English,up to 10,Consulting / Agency,48000
28,Male,Berlin,Software Engineer,6,2,Middle,PHP,English,101-1000,E-commerce,60000
23,Male,Warsaw,Software Engineer,4,0,Middle,PHP,English,up to 10,Product,34000
31,Female,Berlin,QA Engineer,11,1.5,Middle,JS,English,101-1000,Startup,#VALUE!
34,Male,Tallinn,Software Engineer,12,0,Middle,PHP,English,101-1000,Product,54000
34,Male,Berlin,Software Engineer,10,2,Senior,.Net,English,11-50,Product,60000
38,Male,Munich,Software Engineer,15,5,Senior,Javascript,English,51-100,Corporation,86000
25,Female,Berlin,Frontend Developer,4,1,Middle,Javascript / Typescript,English,11-50,Startup,60000
23,Male,Berlin,Software Engineer,3,3,Middle,JavaScript,English,1000+,Product,66000
30,Male,Munich,Software Engineer,10,4,Senior,.NET,English,1000+,Product,80000
32,Male,Berlin,Engineering Manager,10,5,Middle,JavaScript,English,101-1000,Product,85000
28,Male,Berlin,Frontend Developer,2,2,Junior,JavaScript,German,1000+,Publishing and Technology,47000
31,Male,Berlin,ML Engineer,4,4,Junior,python,German,1000+,Product,70000
40,Female,Berlin,Software Engineer,"1,5","1,5",Junior,JavaScript ,English,51-100,Startup,50000
42,Male,Berlin,Software Engineer,17,9,Senior,Go,English,101-1000,Startup,83000
27,Male,Berlin,Software Engineer,6,3,Middle,Java,English,1000+,Product,94000
29,Male,Munich,Software Engineer,8,6,Middle,PHP,English,1000+,Product,75000
23,Male,Berlin,Software Engineer,5,0,Middle,Python,English,101-1000,Product,53000
35,Male,Munich,Backend Developer,14,2.5,Senior,Java,English,101-1000,Startup,77000
39,Male,Berlin,Manager,11,9,Head,Python ,English,1000+,Product,330000
33,Male,Lübeck,Software Engineer,10,1,Middle,C#,German,101-1000,Product,55000
31,Male,Berlin,Software Engineer,10,4,Lead,Python,English,101-1000,Startup,82000
38,Male,Berlin,Data Scientist,15,2,Head,Python,English,101-1000,Startup,220000
31,Male,Hamburg,ML Engineer,3,3,Lead,Python ,English,11-50,Startup,70000
26,Female,Berlin,Data Scientist,2,1,Junior,Python,English,11-50,Consulting / Agency,47000
30,Male,Berlin,Software Engineer,10,4,Senior,Java,English,11-50,Startup,70000
33,Male,Munich,Software Engineer,9,9,Lead,Java,German,51-100,Product,100000
33,Male,Munich,Software Engineer,11,1,Senior,Python,English,51-100,Startup,65000
31,Male,Berlin,Mobile Developer,10,3,Senior,Swift,English,1000+,Product,93500
33,Male,Nuremberg ,Data Scientist,2,2,Middle,Python,English,1000+,Market Research ,54000
43,Male,Munich,Consultant ,21,3,Senior,Java,German,101-1000,Consulting / Agency,72000
36,Male,Berlin,Frontend Developer,14,5,Senior,Javascript,English,11-50,Startup,78000
33,Male,Nürnberg,Software Engineer,9,9,Senior,Javascript / Typescript,German,1000+,Consulting / Agency,85000
36,Female,Berlin,DevOps,1,3,Middle,java,English,51-100,Consulting / Agency,65000
27,Female,Munich,Mobile Developer,1,1,Junior,"Kotlin, Java",English,11-50,Startup,50000
33,Male,Berlin,Software Engineer,12,5,Lead,Go,English,101-1000,Product,170000
33,Male,Berlin,Data Analyst,2,2,Middle,SQL,English,101-1000,Product,62000
40,Male,Berlin,QA Engineer,11,11,Senior,Python,German,101-1000,Product,61000
40,Male,Bodensee,Product Manager,17,9,Lead,Linux Kernel,German,11-50,Product,88000
35,Male,Frankfurt,Frontend Developer,6,0.5,Senior,Javascript,English,11-50,Product,80000
39,Male,Berlin,Data Scientist,7,4,Senior,several,English,101-1000,Startup,140000
25,Male,Berlin,Software Engineer,6,2,Middle,Java,English,1000+,e-commerce,65300
27,Male,Berlin,Software Engineer,4,1,Middle,C#,English,101-1000,Product,65000
28,Male,Berlin,Data Scientist,4,4,Middle,Python ,English,101-1000,Product,75500
36,Female,Munich,Frontend Developer,10,3,Middle,javascript,German,101-1000,Product,48000
29,Female,Berlin,Software Developer in Test,9,4,Lead,Java,English,101-1000,Startup,66000
34,Male,Berlin,Mobile Developer,10,0.5,Senior,Android/Kotlin,English,51-100,Product,70000
39,Male,Munich,Software Architect,20,12,Lead,embedded,English,1000+,Product,167000
32,Male,Berlin,Software Engineer,6,0,Middle,PHP,German,1000+,Product,58000
37,Male,Berlin,QA Engineer,6,6,Middle,Java/Groovy,English,101-1000,SaaS,69200
32,Male,Munich,Software Engineer,7,1,Senior,Python ,English,11-50,Startup,72000
35,Male,Munich,Software Engineer,16,8,Lead,PHP,English,101-1000,Product,84000
26,Male,Berlin,Data Scientist,5,3,Middle,Python ,English,101-1000,Startup,59000
32,Male,Berlin,Frontend Developer,7,1,Middle,Typescript,English,101-1000,Startup,68000
36,Male,Berlin,Software Engineer,10,10,Senior,typescript,German,1000+,Product,88000
26,Male,Berlin,Software Engineer,5,2,Middle,Swift,English,1000+,Product,71000
28,Male,Berlin,Data Engineer,5,1,Middle,Scala,English,101-1000,Product,65000
36,Male,Berlin,Data Scientist,5,5,Middle,python,English,101-1000,Startup,65000
40,Male,Munich,Software Engineer,18,18,Senior,java,German,up to 10,Consulting / Agency,160000
29,Male,Milan,Data Scientist,4,0,Middle,Python + SQL,Italian,101-1000,Consulting / Agency,37500
32,Male,Berlin,Software Engineer,10,5,Middle,javascript,English,51-100,Startup,70000
28,Male,Munich,Software Engineer,5,4,Middle,Java,English,11-50,Startup,64000
27,Male,Berlin,DevOps,7,3.5,Senior,Go,English,101-1000,Startup,80000
33,Male,Berlin,Software Engineer,16,5,Senior,Java,English,1000+,Product,100000
34,Male,Munich,QA Engineer,5,2,Senior,Java,English,1000+,Product,76500
31,Male,Berlin,Frontend Developer,8,3.5,Senior,Typescript,English,11-50,Product,60000
31,Male,Munich,Frontend Developer,8,3,Senior,"Typescript, Web apps",English,1000+,Product,84000
31,Male,Berlin,Data Scientist,5,3,Middle,Python,English,101-1000,Product,108000
27,Male,Berlin,ML Engineer,6,1,Middle,Python,English,1000+,Product,120500
31,Male,Hamburg,Data Scientist,9,9,Middle,Python,German,up to 10,Product,50000
29,Male,Berlin,Backend Developer,10,5,Senior,Scala,English,11-50,Startup,80000
39,Male,Berlin,Software Engineer,6,1,Senior,PHP,English,101-1000,Product,60000
35,Male,Berlin,Frontend Developer,10,3,Senior,JavaScript,English,1000+,Startup,75000
38,Male,Berlin,Tech Leader,24,1,Head,Java,English,101-1000,Product,130000
31,Male,Salzburg,Chief Research Officer,10,2,C-level executive manager,Python,English,51-100,Startup,140000
32,Male,Berlin,QA Engineer,7,3.5,Senior,Swift,English,51-100,Startup,65000
35,Male,Berlin,SRE,10,3,Senior,Terraform ,English,101-1000,Product,85000
28,Male,Rome,ML Engineer,2,0,Middle,Java,English,1000+,Product,38400
30,Female,Berlin,Data Scientist,6,5,Senior,python,English,1000+,Product,86000
26,Male,Berlin,Data Engineer,2,2,Middle,Python,English,1000+,Product,55000
25,Male,Berlin,Data Engineer,3,3,Senior,Scala,English,1000+,Product,75000
27,Male,Berlin,DevOps,4,4,Middle,AWS,English,101-1000,Consulting / Agency,72000
22,Male,Berlin,Presales Engineer ,4,4,Middle,"Java, .Net",English,101-1000,Startup,63000
37,Female,Berlin,Data Scientist,2,2,Middle,Python,German,101-1000,Publisher,62000
25,Male,Berlin,Data Scientist,1,0.5,Junior,"Python, statistics, SQL",English,1000+,Product,61000
33,Male,Berlin,Backend Developer,11,4,Senior,Scala,German,11-50,Startup,154000
38,Male,Berlin,Freelance AI lead / advisor,20,7,Head,C,English,up to 10,Consulting / Agency,400000
25,Male,Berlin,Software Engineer,5,1,Senior,Node.js,English,up to 10,Consulting / Agency,57000
26,Female,Berlin,Data Scientist,4,1,Middle,"Sql, BQ, tableau, gtm, ga",English,101-1000,Startup,45000
29,Male,Berlin,Frontend Developer,3,3,Middle,React ,English,51-100,Product,47300
22,Female,Berlin,Business Development Manager Operations ,4,1,Middle,Business Development Manager Operation ,English,1000+,Startup,39000
30,Male,Berlin,Frontend Developer,4,2,Senior,TypeScript,English,101-1000,Product,73000
30,Male,Berlin,Frontend Developer,11,5,Senior,Typescript,English,1000+,Product,85000
28,Female,Amsterdam,Program Manager,10,3,Senior,Management,English,1000+,Product,116000
29,Male,Berlin,Frontend Developer,9,1,Senior,Javascript / Typescript,English,1000+,Startup,74000
32,Male,Cologne,DevOps,10,1,Middle,Bash,English,101-1000,Product,110000
36,Male,Berlin,Researcher,4,4,Middle,C++,English,up to 10,University,40000
30,Female,Berlin,Software Engineer,4,4,Middle,Python,English,1000+,Product,56000
29,Male,Stuttgart ,Software Engineer,7,5,Middle,C++,English,51-100,Product,70000
32,Female,Berlin,QA Engineer,10,"1,5",Middle,Java,English,1000+,Product,68000
34,Male,Berlin,QA Engineer,10,3,Senior,JS,English,1000+,Product,70000
40,Male,Berlin,Engineering manager,15,6,Head,Python,English,1000+,Product,80000
35,Male,Berlin,Software Engineer,15,4,Principal,C++,English,1000+,Product,97000
31,Male,Berlin,Software Engineer,8,1,Senior,"Java, Kotlin",English,1000+,Product,77000
38,Male,Berlin,Data Scientist,15,3,Senior,Python,English,11-50,Product,115000
39,Male,Hamburg,Data Scientist,10,10,Senior,R,English,1000+,Energy ,80000
35,Male,Berlin,Backend Developer,13,5,Senior,Nodejs,English,up to 10,Startup,90000
30,Female,Berlin,QA Engineer,5,2,Middle,TS,English,11-50,Product,54000
29,Female,Berlin,Data Scientist,0,0,intern,Python,English,1000+,Product,40000
36,Male,Berlin,Engineering Manager,18,10,Head,C++,English,1000+,Product,123000
41,Male,Berlin,Backend Developer,20,5,Senior,Python,English,1000+,Product,94000
41,Male,Berlin,Software Engineer,18,7,Lead,PHP,English,51-100,Product,200000
28,Female,Berlin,Data Scientist,6,1,Senior,sql,English,1000+,Product,70000
33,Male,Berlin,Software Engineer,10,3,Lead,javascript,English,101-1000,Startup,75000
31,Male,Munich,Software Engineer,3,3,Middle,JavaScript ,German,51-100,Product,126909
29,Male,Berlin,Backend Developer,5,1,Senior,Java,English,1000+,Product,70000
23,Male,Berlin,Backend Developer,3,1,Middle,Java,English,1000+,Product,180000
25,Male,Berlin,ML Engineer,4.5,2,Middle,"Spark, Pytorch",English,11-50,Startup,90000
34,Male,Berlin,QA Engineer,10,5,Lead,Java,English,101-1000,Startup,85000
45,Male,Berlin,Backend Developer,30,1,Senior,PHP,English,11-50,Startup,55000
37,Male,Berlin,Embedded Software Engineer,15,1,Senior,C/C++,English,1000+,Product,78000
31,Male,Berlin,Software Engineer,9,5,Lead,javascript,English,101-1000,Startup,198000
32,Male,Amsterdam,Backend Developer,15,0,Senior,Golang,English,11-50,Product,90000
45,Female,Berlin,Product Manager,15,7,Lead,Java,English,11-50,Product,52000
36,Male,Berlin,Backend Developer,14,12,Middle,JS,English,101-1000,Product,75000
40,Male,Karlsruhe,Team Manager,20,6,Lead,C#,English,1000+,Enterprise,100000
28,Male,Berlin,Backend Developer,7,3,Senior,Java,English,101-1000,Product,135000
35,Male,Frankfurt,Backend Developer,15,15,Senior,C,German,51-100,Product,70000
37,Male,Berlin,Backend Developer,12,3,Senior,Java,English,101-1000,Startup,102000
33,Male,Berlin,Software Engineer,10,6,Lead,C/C++,English,1000+,Product,110000
33,Male,Berlin,Backend Developer,13,5,Senior,Java,English,101-1000,Product,78600
31,Male,Munich,Software Engineer,10,4,Lead,Java ,English,101-1000,Product,147000
31,Male,Berlin,Software Engineer,4,2,Middle,Java,English,1000+,Product,137500
28,Male,Wolfsburg,Software Engineer,3,1,Middle,Java,English,101-1000,Consulting / Agency,42000
31,Male,Boeblingen,QA Engineer,6,3,Senior,Python,English,1000+,Consulting / Agency,53000
40,Male,Cupertino,Software Engineer,20,0,Lead,Swift,English,1000+,Product,700000
25,Female,Frankfurt,Software Engineer,3,2,Middle,Java,German,1000+,Product,58000
35,Male,Berlin,Data Analyst,9,9,Senior,Python,German,101-1000,Startup,77000
35,Male,Berlin,Software Engineer,15,10,Senior,.net,English,11-50,Consulting / Agency,160000
41,Male,Berlin,DevOps,20,14,Senior,"Linux/UNIX, GIT, Virtualisation Platforms, *shell(s) scripts",German,1000+,Bloody enterprise,79500
33,Male,Berlin,DevOps,8,3,Senior,AWS,English,1000+,service,76000
33,Male,Berlin,Data Engineer,13,3,Senior,Python,English,101-1000,Startup,90000
38,Male,Munich,Software Engineer,15,2,Senior,Java,English,11-50,Product,145000
35,Male,Berlin,Software Engineer,10,6,Senior,php,German,up to 10,Product,156000
36,Female,Berlin,Data Scientist,5,5,Senior,Python,English,51-100,Startup,75000
49,Male,Munich,Software Engineer,27,19,Senior,Java,German,101-1000,Consulting / Agency,57000
32,Male,Berlin,Software Engineer,10,7,Lead,TypeScript,Deuglisch,1000+,Concern,120000
32,Female,Berlin,Software Engineer,6,4,Lead,Java,English,101-1000,Startup,75000
27,Female,Berlin,Data Analyst ,1,1,Middle,"Python, SQL",English,1000+,Product,63000
31,Male,Frankfurt,Data Scientist,6,6,Senior,python,English,51-100,Consulting / Agency,75000
31,Male,Paris,Mobile Developer,8,0,Senior,Swift,English,101-1000,Product,66000
28,Male,Cologne,Backend Developer,4,4,Middle,Java,German,101-1000,Product,50000
28,Female,Berlin,Frontend Developer,3,3,Middle,JavaScript,English,101-1000,Product,54500
27,Male,Berlin,Software Engineer,2,1,Lead,DWH,English,1000+,Product,97000
29,Male,Berlin,Frontend Developer,8,5,Head,JavaScript,English,1000+,Product,82500
32,Female,Munich,Data Engineer,10,2,Middle,Python,English,11-50,Startup,75000
28,Male,Berlin,QA Engineer,5,1,Middle,QA,English,101-1000,Product,60000
38,Male,Dublin ,Mobile Developer,16,0,Senior,Swift,English,101-1000,Product,85000
29,Male,Berlin,Data Engineer,3,3,Middle,Azure,German,1000+,Utilities,60000
30,Male,Stockholm,Backend Developer,7,2.5,Senior,C++,English,1000+,Product,74000
33,Female,Berlin,Designer (UI/UX),6,1,Middle,"Sketch, Figma",English,51-100,Product,42000
30,Male,Paderborn,Data Scientist,6,2,Junior,Python,German,101-1000,Product,55250
31,Male,Berlin,Product Manager,5,3,Lead,n/a,English,51-100,Startup,96000
37,Male,Berlin,Mobile Developer,16,2,Senior,iOS,English,101-1000,Product,65000
30,Male,Berlin,Software Engineer,7,1,Senior,Java,English,1000+,Product,86000
30,Male,Berlin,Software Engineer,8,2,Senior,JS,English,51-100,Product,60000
32,Male,Berlin,QA Engineer,10,3,Senior,js,English,1000+,Product,126000
32,Male,Cologne,DevOps,7,2,Middle,k8s,English,101-1000,Product,60000
34,Male,Munich,Software Engineer,12,8,Senior,Java,English,101-1000,Product,74000
43,Male,Cologne,Backend Developer,10,7,Senior,Php,German,101-1000,Product,65600
33,Male,Munich,Software Engineer,13,4,Senior,Java,English,101-1000,Startup,70000
28,Female,Munich,QA Engineer,8,4,Senior,Kotlin,English,101-1000,Product,75000
33,Male,Hamburg,Software Engineer,11,5,Senior,Java,English,11-50,Product,65000
33,Male,Munich,Software Engineer,11,4,Lead,"Frontend: react, node.js",English,1000+,Product,90000
51,Male,Berlin,Software Engineer,30,30,Senior,"VB, RPA, Python",German,1000+,Consulting / Agency,65000
35,Male,Berlin,Software Engineer,8,5,Senior,Go,English,1000+,Product,190000
35,Male,Berlin,Software Engineer,1,1,Junior,FBD,German,up to 10,Product,30000
28,Male,Munich,Software Engineer,6,3,Middle,"C, C++",English,101-1000,Product,73000
25,Male,Berlin,Mobile Developer,2,2,Middle,"Swift, Objective-C, iOS",English,1000+,Product,44000
25,Female,Hamburg,working student (QA),1,1,Student,Ruby,English,1000+,Product,12000
32,Male,Berlin,Backend Developer,10,3,Lead,Ruby,English,51-100,Product,80000
32,Male,Berlin,Software Engineer,9,3,Lead,Embedded,English,101-1000,Product,74000
26,Male,Berlin,Architect ,9,4,Head,Go,English,1000+,Product,170000
25,Male,Berlin,Software Engineer,6,3,Senior,JavaScript / TypeScript,English,1000+,Product,77750
27,Female,Berlin,Backend Developer,5,"2,5",Middle,Kotlin,English,51-100,Product,65000
28,Male,Frankfurt,Frontend Developer,7,5,Senior,Javascript,English,11-50,Startup,80000
32,Female,Munich,QA Engineer,8,1,Senior,Java,English,101-1000,Consulting / Agency,130000
28,Male,Karlsruhe,Backend Developer,7,3,Senior,Java,English,1000+,Product,69000
34,Male,Berlin,Frontend Developer,13,1,Lead,JavaScript,English,101-1000,Product,85000
35,Male,Konstanz,Data Scientist,10,10,Middle,python,English,51-100,Product,65000
38,Male,Berlin,Head of Engineering,20,9,Head,Java,English,1000+,Corporation,150000
31,Female,Ulm,QA Engineer,8,3,Middle,Java,English,101-1000,Product,45000
43,Male,Stuttgart,SAP Consultant,20,15,Senior,SAP / ABAP,German,1000+,Product,94000
38,Male,Berlin,Data Scientist,15,2,Head,Python,English,101-1000,Startup,220000
35,Male,Munich,DevOps,17,5,Lead,Kubrrnetes,English,1000+,Consulting / Agency,80000
32,Male,Berlin,DevOps,10,1,Middle,python,English,101-1000,Product,62000
37,Male,Berlin,Mobile Developer,17,1,Senior,Swift,English,1000+,Product,77500
29,Male,Berlin,Mobile Developer,5,4,Senior,iOS,English,101-1000,Product,65000
41,Male,Berlin,Software Engineer,18,3,Senior,JavaScript,English,up to 10,Startup,120000
38,Male,Stuttgart ,Backend Developer,4,2,Middle,PHP,English,up to 10,Consulting / Agency,43000
29,Male,Düsseldorf,Frontend Developer,6,6,Middle,TypeScript,German,11-50,Product,55000
35,Male,Berlin,QA Engineer,12,3,Senior,JS,English,101-1000,Product,63000
41,Male,Munich,Software Engineer,19,5,Senior,Java,English,101-1000,Product,75000
29,Male,Barcelona,Data Scientist,0,0,Junior,Python,English,51-100,Product,24000
26,Female,Dusseldorf,BI Consultant SAP/ Data Engineer,5,5,Middle,ABAP,German,up to 10,Startup,142000
30,Male,Berlin,Data Engineer,6,1,Middle,Python,English,1000+,Product,66000
26,Male,London,DevOps,3,0,Middle,"networking, linux, automation, cloud",English,51-100,Product,37000
35,Female,Munich,Backend Developer,4,4,Middle,PHP,German,101-1000,Insurance,55000
47,Male,Bölingen,Software Engineer,25,15,"no idea, there are no ranges in the firm ",java,German,11-50,Consulting / Agency,#VALUE!
44,Male,Kyiv,Business Analyst,15,0,Head,UML,English,101-1000,Consulting / Agency,60000
32,Male,Berlin,Frontend Developer,13,2,Senior,JavaScript,English,11-50,Product,71000
33,Male,Dusseldorf,Data Scientist,2,2,Lead,Spark,English,1000+,Product,76000
32,Male,Munich,Frontend Developer,8,2,Senior,"Js, reactJS ",English,1000+,Product,70000
26,Male,Berlin,Data Engineer,4,3,Middle,Scala,English,11-50,Consulting / Agency,51000
22,Diverse,Cologne,QA Engineer,1,1,Head,Cobol,German,1000+,Product,194000
43,Male,Berlin,Engineering Manager,20,20,Lead,Java,English,1000+,Product,105000
33,Male,Munich,Software Engineer,11,6,Senior,JavaScript ,English,101-1000,Product,80000
35,Female,Frankfurt,Software Engineer,1,1,Junior,ABAP,German,51-100,Consulting / Agency,50000
28,Male,Munich,Frontend Developer,5,5,Middle,JavaScript,German,11-50,Product,72000
36,Male,Munich,DevOps,16,0,Senior,SRE,English,1000+,Product,255000
27,Male,Munich,Data Engineer,2,0,Junior,Python ,German,11-50,Consulting / Agency,54000
36,Male,Berlin,Backend Developer,4,1,Middle,Java,English,101-1000,Product,55000
38,Male,Berlin,Backend Developer,5,1,Middle,Java,English,101-1000,Product,66000
28,Male,Berlin,Mobile Developer,6,1,Middle,Android,English,1000+,Product,95000
25,Male,Berlin,Mobile Developer,8,0,Senior,Clojure,English,51-100,Startup,95000
30,Male,Berlin,Frontend Developer,6,1,Senior,Javascript,English,1000+,Product,89000
30,Male,Berlin,Backend Developer,8,2,Middle,Python,English,1000+,Product,85000
28,Male,Berlin,Backend Developer,8,1,Lead,Ruby,English,51-100,Startup,67000
32,Female,Berlin,DevOps,9,5,Middle,"Terraform, Kubernetes, AWS, GCP, Ansible, Puppet",English,101-1000,Product,84000
29,Male,Berlin,Frontend Developer,3,0,Middle,JavaScript ,English,51-100,Consulting / Agency,48000
35,Male,Berlin,Software Engineer,13,5,Lead,TypeScript,English,101-1000,Startup,303000
33,Male,Berlin,Frontend Developer,10,4,Senior,JS,English,101-1000,Startup,74000
34,Male,Berlin,Backend Developer,13,1,Senior,Elixir,English,101-1000,Product,70000
25,Male,Berlin,Backend Developer,6,2,Senior,Go,English,101-1000,Startup,86000
42,Female,Berlin,QA Engineer,5,5,Middle,Java,English,51-100,Product,46000
25,Female,Tampere (Finland),computer vision researcher,3,3 months,Junior,Python,English,51-100,Science Institute ,46000
40,Male,Berlin,Backend Developer,14,8,Lead,Spring,English,101-1000,Product,135000
33,Male,Heidelberg,Software Engineer,11,5,Senior,Python,English,101-1000,Research institute,80000
39,Male,Cologne,Teamlead,12,12,Head,PHP ,German,up to 10,Startup,150000
24,Male,Berlin,Software Engineer,2,2,Junior,Javascript,German,1000+,Product,50000
24,Female,Prague,Software Engineer,3,0,Middle,Java,English,11-50,Startup,29000
39,Male,Berlin,Engineering Manager,15,10,Lead,Java,German,101-1000,Product,90000
26,Male,Berlin,Backend Developer,2.5,1,Middle,Java,English,101-1000,Product,60000
29,Male,Berlin,Software Engineer,6,"0,5",Middle,Swift,English,1000+,Product,70000
29,Female,Berlin,Software Engineer,5,2,Middle,PHP,English,11-50,Startup,55000
30,Male,Berlin,Backend Developer,9,3,Head,Java,English,51-100,Startup,85000
31,Male,Berlin,ML Engineer,7,2,Middle,Python,English,1000+,Product,92000
33,Male,Berlin,Mobile Developer,8,2,Senior,swift,English,1000+,Product,76000
31,Female,Berlin,Software Engineer,1,1,Junior,React,English,1000+,Retail,58000
36,Male,Frankfurt,Software Engineer,16,5,Middle,.Net,German,51-100,Consulting / Agency,65000
30,Male,Berlin,Mobile Developer,8,5,Senior,Swift,English,up to 10,Consulting / Agency,60000
39,Male,Berlin,Software Engineer,19,7,Senior,Golang,English,11-50,Startup,184000
32,Male,Berlin,Software Engineer,11,1,Senior,C++,English,1000+,Product,110000
35,Male,Berlin,Backend Developer,12,3,Senior,php,English,101-1000,Product,54000
34,Male,Berlin,Data Scientist,6,4.5,Senior,python,English,1000+,Product,90000
26,Male,Berlin,Data Scientist,4,2,Middle,Python,English,1000+,Ecommerce,66000
29,Male,Helsinki,Mobile Developer,7,0,Senior,Kotlin,English,51-100,Consulting / Agency,65100
42,Male,Berlin,Frontend Developer,18,5,Senior,React JS,English,101-1000,Product,945000
31,Male,Berlin,Software Engineer,12,2,Senior,Java,English,1000+,Product,60000
33,Male,Berlin,Software Engineer,10,5,Senior,Python,English,1000+,Product,90000
28,Male,Berlin,Data Engineer,6,1.5,Middle,Python,English,1000+,Product,83000
35,Male,Düsseldorf,Data Scientist,3,3,Middle,Python,English,51-100,E-Commerce,76000
35,Male,Berlin,Consultant,16,6,Senior,Python,English,1000+,Product,130000
31,Male,Berlin,Software Engineer,8,3,Senior,Typescript ,English,1000+,Product,80000
32,Male,Siegen,Software Engineer,13,1,Junior,C,English,51-100,Product,48000
